event_id,log,source,category,subcategory,description,sample,reference,how_to_collect,sample_type,mitre_techniques,acsc_priority_log,nist_800_53_au,field_schema,group_policy_path,opposite_event_id,cim_mapping
107,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Reservation xxx for ipv4 is deleted under scope xxx by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      107
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Reservation 10.20.30.50 for ipv4 is deleted under scope 10.20.30.0 by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
108,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Reservation xxx for ipv4 under scope xxx is enabled for dns dynamic updates by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      108
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Reservation 10.20.30.50 for ipv4 under scope 10.20.30.0 is enabled for DNS dynamic updates by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
119,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,Added exclusion ip address range xxx in the address pool for ipv4 under scope xxx by xxx,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      119
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
Added exclusion IP address range 10.20.30.240-10.20.30.254 in the address pool for ipv4 under scope 10.20.30.0 by CORP\admin.jsmith.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20221,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Description of Scope ....policy...was set to ... for ...,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20221
Task Category: Policy
Level:         Information
Computer:      DHCP01.corp.local
Description:
Description of Scope 10.20.30.0 policy Voip-Phones was set to 'Priority policy for VoIP handsets' for ipv4.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20223,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,The conditions for scope...policy...have been set to.....The conditions are grouped by logical operator OR,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20223
Task Category: Policy
Level:         Information
Computer:      DHCP01.corp.local
Description:
The conditions for scope 10.20.30.0 policy Voip-Phones have been set to Vendor Class = 'Cisco Systems, Inc. IP Phone'. The conditions are grouped by logical operator OR.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20227,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Policy default ... was deleted from scope,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20227
Task Category: Policy
Level:         Information
Computer:      DHCP01.corp.local
Description:
Policy default Voip-Phones was deleted from scope 10.20.30.0.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20237,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Description of scope...policy...was set to....,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20237
Task Category: Policy
Level:         Information
Computer:      DHCP01.corp.local
Description:
Description of scope 10.20.30.0 policy Voip-Phones was set to 'Updated VoIP handset policy'.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20239,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,Processing order of scope...policy was changed to..from..,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20239
Task Category: Policy
Level:         Information
Computer:      DHCP01.corp.local
Description:
Processing order of scope 10.20.30.0 policy Voip-Phones was changed to 1 from 3.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20243,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,DHCP Failover,Scope xxx has been added to the failover relationship,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20243
Task Category: DHCP Failover
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 has been added to the failover relationship DHCP01-DHCP02-Failover.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20244,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,DHCP Failover,Scope xxx has been removed from the failover relationship,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20244
Task Category: DHCP Failover
Level:         Information
Computer:      DHCP01.corp.local
Description:
Scope 10.20.30.0 has been removed from the failover relationship DHCP01-DHCP02-Failover.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20287,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,,DHCP client request from xxx was dropped since the last applicable ip ranges in scope xxx are out of available addresses,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20287
Task Category: None
Level:         Information
Computer:      DHCP01.corp.local
Description:
DHCP client request from 00-15-5D-01-CA-3F was dropped since the last applicable IP ranges in scope 10.20.30.0 are out of available addresses.",Configure,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20291,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,DHCP-Failover,A Binding-ACK message with transaction..was sent for IP address...with reject reason...to partner server...for failover relationship,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20291
Task Category: DHCP-Failover
Level:         Information
Computer:      DHCP01.corp.local
Description:
A Binding-ACK message with transaction ID 0x4F2A1 was sent for IP address 10.20.30.87 with reject reason NONE to partner server DHCP02.corp.local for failover relationship DHCP01-DHCP02-Failover.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20292,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,DHCP-Failover,A Binding-ACK message with transaction..was received for IP address...with reject reason...from partner server...for failover relationship,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20292
Task Category: DHCP-Failover
Level:         Information
Computer:      DHCP01.corp.local
Description:
A Binding-ACK message with transaction ID 0x4F2A1 was received for IP address 10.20.30.87 with reject reason NONE from partner server DHCP01.corp.local for failover relationship DHCP01-DHCP02-Failover.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
20315,Microsoft-Windows-DHCP-Server,DHCP-Server,DHCP,Policy,DNSSuffix of scope...policy...was set to,"Log Name:      Microsoft-Windows-DHCP-Server/Admin
Source:        Microsoft-Windows-DHCP-Server
Event ID:      20315
Task Category: Policy
Level:         Information
Computer:      DHCP01.corp.local
Description:
DNSSuffix of scope 10.20.30.0 policy Voip-Phones was set to corp.local.",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
2003,Microsoft-Windows-DriverFrameworks-UserMode/Operational,Microsoft Windows Security Auditing,Removable Media / Device (PNP),Removable Storage device.,Failure read or write to removeable media,"Log Name:      Microsoft-Windows-DriverFrameworks-UserMode/Operational
Source:        Microsoft-Windows-DriverFrameworks-UserMode
Event ID:      2003
Level:         Information
Computer:      WKS-0142.corp.local
Description:
Failed to read or write to removable media on device \Device\HarddiskVolume7 (USB Mass Storage Device).",,Audit Removable Storage,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
2004,Microsoft-Windows-DriverFrameworks-UserMode/Operational,Microsoft Windows Security Auditing,Removable Media / Device (PNP),Removable Storage device.,The UMDF Host is loading Driver,"Log Name:      Microsoft-Windows-DriverFrameworks-UserMode/Operational
Source:        Microsoft-Windows-DriverFrameworks-UserMode
Event ID:      2004
Level:         Information
Computer:      WKS-0142.corp.local
Description:
The UMDF Host is loading Driver ""WUDFRd"" for Device Instance ID ""USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer&Rev_1.00\4C531001234567890123&0"".",,Audit Removable Storage,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
2005,Microsoft-Windows-DriverFrameworks-UserMode/Operational,Microsoft Windows Security Auditing,Removable Media / Device (PNP),Removable Storage device.,The UMDF Host Process..has loaded module,"Log Name:      Microsoft-Windows-DriverFrameworks-UserMode/Operational
Source:        Microsoft-Windows-DriverFrameworks-UserMode
Event ID:      2005
Level:         Information
Computer:      WKS-0142.corp.local
Description:
The UMDF Host Process ""C:\Windows\System32\WUDFHost.exe"" has loaded module ""WUDFRd.dll"".",,Audit Removable Storage,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
2010,Microsoft-Windows-DriverFrameworks-UserMode/Operational,Microsoft Windows Security Auditing,Removable Media / Device (PNP),Removable Storage device.,Failure read or write to removeable media,"Log Name:      Microsoft-Windows-DriverFrameworks-UserMode/Operational
Source:        Microsoft-Windows-DriverFrameworks-UserMode
Event ID:      2010
Level:         Information
Computer:      WKS-0142.corp.local
Description:
Failed to read or write to removable media on device \Device\HarddiskVolume7 (USB Mass Storage Device).",,Audit Removable Storage,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
2100,Microsoft-Windows-DriverFrameworks-UserMode/Operational,Microsoft Windows Security Auditing,Removable Media / Device (PNP),Removable Storage device.,Received a PNP or Power Operation,"Log Name:      Microsoft-Windows-DriverFrameworks-UserMode/Operational
Source:        Microsoft-Windows-DriverFrameworks-UserMode
Event ID:      2100
Level:         Information
Computer:      WKS-0142.corp.local
Description:
Received a PNP or Power Operation ""IRP_MN_START_DEVICE"" for Device Instance ID ""USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer&Rev_1.00\4C531001234567890123&0"".",,Audit Removable Storage,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
2105,Microsoft-Windows-DriverFrameworks-UserMode/Operational,Microsoft Windows Security Auditing,Removable Media / Device (PNP),Removable Storage device.,Forwarded a PNP or Power Operation,"Log Name:      Microsoft-Windows-DriverFrameworks-UserMode/Operational
Source:        Microsoft-Windows-DriverFrameworks-UserMode
Event ID:      2105
Level:         Information
Computer:      WKS-0142.corp.local
Description:
Forwarded a PNP or Power Operation ""IRP_MN_START_DEVICE"" for Device Instance ID ""USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer&Rev_1.00\4C531001234567890123&0"".",,Audit Removable Storage,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
2106,Microsoft-Windows-DriverFrameworks-UserMode/Operational,Microsoft Windows Security Auditing,Removable Media / Device (PNP),Removable Storage device.,Received a PNP or Power Operation,"Log Name:      Microsoft-Windows-DriverFrameworks-UserMode/Operational
Source:        Microsoft-Windows-DriverFrameworks-UserMode
Event ID:      2106
Level:         Information
Computer:      WKS-0142.corp.local
Description:
Received a PNP or Power Operation ""IRP_MN_QUERY_REMOVE_DEVICE"" for Device Instance ID ""USBSTOR\Disk&Ven_SanDisk&Prod_Cruzer&Rev_1.00\4C531001234567890123&0"".",,Audit Removable Storage,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""level"":""enum"",""computer"":""string"",""description"":""string""}}",,,
21,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,Microsoft-Windows-TerminalServices-LocalSessionManager,Remote Desktop Services / Terminal Services Session,,Session logon succeeded,"```
Remote Desktop Services: Session logon succeeded:

User: domain\fred.burgmann
Session ID: 10
Source Network Address: 192.168.10.1
```",,,original,,Yes,,"{""header"":{""description"":""string""},""user"":""principal"",""session_id"":""integer"",""source_network_address"":""ip""}",Computer Configuration\Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host,,Network_Sessions
23,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,Microsoft-Windows-TerminalServices-LocalSessionManager,Remote Desktop Services / Terminal Services Session,,Session logoff succeeded,"```
Remote Desktop Services: Session logoff succeeded:

User: domain\fred.burgmann
Session ID: 10
```",,,original,,Yes,,"{""header"":{""description"":""string""},""user"":""principal"",""session_id"":""integer""}",Computer Configuration\Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host,,Network_Sessions
24,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,Microsoft-Windows-TerminalServices-LocalSessionManager,Remote Desktop Services / Terminal Services Session,,Session has been disconnected,"```
Remote Desktop Services: Session has been disconnected:

User: domain\fred.burgmann
Session ID: 10
Source Network Address: 192.168.10.1
```",,,original,,Yes,,"{""header"":{""description"":""string""},""user"":""principal"",""session_id"":""integer"",""source_network_address"":""ip""}",Computer Configuration\Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host,,Network_Sessions
25,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,Microsoft-Windows-TerminalServices-LocalSessionManager,Remote Desktop Services / Terminal Services Session,,Session reconnection succeeded,"```
Remote Desktop Services: Session reconnection succeeded:

User: domain\fred.burgmann
Session ID: 10
Source Network Address: 192.168.10.1
```",,,original,,Yes,,"{""header"":{""description"":""string""},""user"":""principal"",""session_id"":""integer"",""source_network_address"":""ip""}",Computer Configuration\Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host,,Network_Sessions
40,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,Microsoft-Windows-TerminalServices-LocalSessionManager,Remote Desktop Services / Terminal Services Session,,"Session has been disconnected, with a disconnect reason code (see data/reference/disconnect_reason_codes_event40.csv)","```
Log Name:      Microsoft-Windows-TerminalServices-LocalSessionManager/Operational
Source:        Microsoft-Windows-TerminalServices-LocalSessionManager
Date:          5/4/2017 10:49:19 AM
Event ID:      40
Task Category: None
Level:         Information
Keywords:     
User:          SYSTEM
Computer:      server-machine
Description:
Session 12 has been disconnected, reason code 5
```",,,original,,,,"{""header"":{""log_name"":""string"",""source"":""string""},""date"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""string"",""keywords"":{""user"":""string"",""computer"":""string""},""description"":""string""}",Computer Configuration\Administrative Templates\Windows Components\Remote Desktop Services\Remote Desktop Session Host,,Network_Sessions
4608,Security,Microsoft-Windows-Security-Auditing,System,Audit Security State Change,Windows is starting up.,"Log Name:      Security
Source:        Microsoft-Windows-Security-Auditing
Event ID:      4608
Task Category: Audit Security State Change
Level:         Information
Keywords:      Audit Success
User:          N/A
Computer:      DC01.corp.local
Description:
Windows is starting up.

Subject:
	Security ID:		S-1-5-21-3623811015-3361044348-30300820-1105
	Account Name:		admin.jsmith
	Account Domain:		CORP
	Logon ID:		0x3E7F21",,,illustrative,,Yes,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""keywords"":""string"",""user"":""string"",""computer"":""string"",""description"":""string""},""subject"":{""security_id"":""sid"",""account_name"":""string"",""account_domain"":""string"",""logon_id"":""hex""}}",,,Change.Endpoint_Changes
4609,Security,Microsoft-Windows-Security-Auditing,System,Audit Security State Change,Windows is shutting down.,"Log Name:      Security
Source:        Microsoft-Windows-Security-Auditing
Event ID:      4609
Task Category: Audit Security State Change
Level:         Information
Keywords:      Audit Success
User:          N/A
Computer:      DC01.corp.local
Description:
Windows is shutting down.

Subject:
	Security ID:		S-1-5-21-3623811015-3361044348-30300820-1105
	Account Name:		admin.jsmith
	Account Domain:		CORP
	Logon ID:		0x3E7F21",,,illustrative,,,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""keywords"":""string"",""user"":""string"",""computer"":""string"",""description"":""string""},""subject"":{""security_id"":""sid"",""account_name"":""string"",""account_domain"":""string"",""logon_id"":""hex""}}",,,Change.Endpoint_Changes
4610,Security,Microsoft-Windows-Security-Auditing,System,Audit Security System Extension,An authentication package has been loaded by the Local Security Authority.,"Log Name:      Security
Source:        Microsoft-Windows-Security-Auditing
Event ID:      4610
Task Category: Audit Security System Extension
Level:         Information
Keywords:      Audit Success
User:          N/A
Computer:      DC01.corp.local
Description:
An authentication package has been loaded by the Local Security Authority.

Subject:
	Security ID:		S-1-5-21-3623811015-3361044348-30300820-1105
	Account Name:		admin.jsmith
	Account Domain:		CORP
	Logon ID:		0x3E7F21",,,illustrative,,Yes,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""keywords"":""string"",""user"":""string"",""computer"":""string"",""description"":""string""},""subject"":{""security_id"":""sid"",""account_name"":""string"",""account_domain"":""string"",""logon_id"":""hex""}}",,,
4611,Security,Microsoft-Windows-Security-Auditing,System,Audit Security System Extension,A trusted logon process has been registered with the Local Security Authority.,"Log Name:      Security
Source:        Microsoft-Windows-Security-Auditing
Event ID:      4611
Task Category: Audit Security System Extension
Level:         Information
Keywords:      Audit Success
User:          N/A
Computer:      DC01.corp.local
Description:
A trusted logon process has been registered with the Local Security Authority.

Subject:
	Security ID:		S-1-5-21-3623811015-3361044348-30300820-1105
	Account Name:		admin.jsmith
	Account Domain:		CORP
	Logon ID:		0x3E7F21",,,illustrative,,Yes,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""keywords"":""string"",""user"":""string"",""computer"":""string"",""description"":""string""},""subject"":{""security_id"":""sid"",""account_name"":""string"",""account_domain"":""string"",""logon_id"":""hex""}}",,,
4612,Security,Microsoft-Windows-Security-Auditing,System,Audit System Integrity,"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.","Log Name:      Security
Source:        Microsoft-Windows-Security-Auditing
Event ID:      4612
Task Category: Audit System Integrity
Level:         Information
Keywords:      Audit Success
User:          N/A
Computer:      DC01.corp.local
Description:
Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.

Subject:
	Security ID:		S-1-5-21-3623811015-3361044348-30300820-1105
	Account Name:		admin.jsmith
	Account Domain:		CORP
	Logon ID:		0x3E7F21",,,illustrative,,Yes,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""keywords"":""string"",""user"":""string"",""computer"":""string"",""description"":""string""},""subject"":{""security_id"":""sid"",""account_name"":""string"",""account_domain"":""string"",""logon_id"":""hex""}}",,,
4614,Security,Microsoft-Windows-Security-Auditing,System,Audit Security System Extension,A notification package has been loaded by the Security Account Manager.,"Log Name:      Security
Source:        Microsoft-Windows-Security-Auditing
Event ID:      4614
Task Category: Audit Security System Extension
Level:         Information
Keywords:      Audit Success
User:          N/A
Computer:      DC01.corp.local
Description:
A notification package has been loaded by the Security Account Manager.

Subject:
	Security ID:		S-1-5-21-3623811015-3361044348-30300820-1105
	Account Name:		admin.jsmith
	Account Domain:		CORP
	Logon ID:		0x3E7F21",,,illustrative,,Yes,,"{""header"":{""log_name"":""string"",""source"":""string"",""event_id"":""integer"",""task_category"":""string"",""level"":""enum"",""keywords"":""string"",""user"":""string"",""computer"":""string"",""description"":""string""},""subject"":{""security_id"":""sid"",""account_name"":""string"",""account_domain"":""string"",""logon_id"":""hex""}}",,,
