subcategory,gpo_path,steps,event_ids,reference_url,nist_800_53_au
Audit Network Policy Server,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit Network Policy Server,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"6272, 6273, 6274, 6275, 6276, 6277, 6278, 6279, 6280",,"AU-2, AU-3, AU-12"
Audit Other Logon/Logoff Events,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit other logon/logoff events,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4649, 4778, 4779, 4800, 4801, 4802, 4803, 5378, 5632, 5633",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-other-logonlogoff-events,"AU-2, AU-3, AU-12"
Audit Special Logon,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon/Logoff\Audit Special Logon,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,4964,https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-special-logon,"AU-2, AU-3, AU-12"
Audit Non-Sensitive Privilege Use,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Privilege Use\Audit Non-Sensitive Privilege Use,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4672, 4673, 4674",,"AU-2, AU-3, AU-12"
Audit Sensitive Privilege Use,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Privilege Use\Audit Sensitive Privilege Use,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"4672, 4673, 4674",,"AU-2, AU-3, AU-12"
Audit PNP Activity,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,Event Viewer > navigate to the GPO path > select 'Configure the following audit event': Success and Failure.,"6416, 6419, 6420, 6421, 6422, 6423, 6424",https://docs.microsoft.com/en-us/windows/device-security/auditing/audit-pnp-activity,"AU-2, AU-3, AU-12"
Audit Process Creation,Advanced Security Audit Policy Settings\Detailed Tracking\Audit Process Creation,Enable the subcategory at the GPO path (Success).,"4688, 4696",,"AU-2, AU-3, AU-12"
Audit Process Termination,Advanced Security Audit Policy Settings\Detailed Tracking\Audit Process Termination,Enable the subcategory at the GPO path (Success).,4689,,"AU-2, AU-3, AU-12"
Audit Certification Services,Advanced Security Audit Policy Settings\Object Access\Audit Certification Services,Enable the subcategory at the GPO path (Success and Failure).,"4868, 4869, 4870, 4871, 4872, 4873, 4874, 4875, 4876, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4889, 4890, 4891, 4892, 4893, 4894, 4895, 4896, 4897, 4898",,"AU-2, AU-3, AU-12"
Audit Removable Storage,Computer Configuration\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Removable Storage,"Sign in to the domain controller as a domain administrator. In Server Manager, go to Tools > Group Policy Management. In the console tree, right-click the relevant GPO and click Edit. Navigate to Computer Configuration > Security Settings > Advanced Audit Policy Configuration > Object Access > Audit Removable Storage. Check 'Configure the following audit events', check Success (and Failure if desired), click OK. If Failure was selected, also double-click Audit Handle Manipulation, check 'Configure the following audit events', and select Failure. Click OK and close the Group Policy Management Editor.","2003, 2004, 2005, 2010, 2100, 2105, 2106, 4656, 4663",,"AU-2, AU-3, AU-12"
Printer auditing,Printer Properties > Security tab > Advanced > Auditing tab (per-printer object ACL auditing) + Microsoft-Windows-PrinterService/Operational log,"For print job names in the log, download and install KB2919355. Per-printer object auditing: open Printer Properties > Security tab > Advanced > Auditing tab > Add > select Principal > select Group > select Type and permissions > OK. Enable the log channel: Event Viewer > Applications and Services Logs > Microsoft > Windows > PrintService > Operational > right-click > Enable Log.","307, 800, 802, 805",,"AU-2, AU-3, AU-12"
NTLM auditing,Computer Configuration > Windows Settings > Security Settings > Local Policies > Security Options > Network security: Restrict NTLM (audit/block settings),"See vendor references for enabling NTLM auditing events (event IDs 8001-8004, 4776) via the 'Network security: Restrict NTLM' group policy settings.",4776,https://technet.microsoft.com/en-au/library/jj865682%28v=ws.10%29.aspx?f=255&MSPPError=-2147217396; https://blogs.technet.microsoft.com/askds/2009/10/08/ntlm-blocking-and-you-application-analysis-and-auditing-methodologies-in-windows-7/,"AU-2, AU-3, AU-12"
Netlogon debug logging,"HKLM\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters (DBFlag, MaximumLogFileSize) - not a Windows Event Log, writes to %windir%\debug\netlogon.log","Enable: open an administrative Command Prompt. Set the debug mask: 'Nltest /DBFlag:2080FFFF' (or 'reg add ""\\$computerName\HKLM\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters"" /v DBFlag /t REG_DWORD /d 0x2080ffdf /f'). Optionally set max log size: 'reg add ""...\Parameters"" /v MaximumLogFileSize /t REG_DWORD /d 100000000 /f'. Restart the service: 'net stop netlogon' then 'net start netlogon' (or 'sc.exe \\$computerName stop/start netlogon'). Disable: 'Nltest /DBFlag:0x0' (restart not usually required to stop new logging).",,https://support.microsoft.com/en-us/help/109626/enabling-debug-logging-for-the-netlogon-service,"AU-2, AU-3, AU-12"
Enable Microsoft-Windows-WebAuthN/Operational log,"Event Viewer \ Applications and Services Logs \ Microsoft \ Windows \ WebAuthN \ Operational (disabled by default, per-machine, not a GPO audit policy)","GUI: launch eventvwr.exe, expand Applications and Services Logs > Microsoft > Windows > WebAuthN, right-click Operational > Enable Log. Command line: 'wevtutil sl Microsoft-Windows-WebAuthN/Operational /e:true'. Useful for troubleshooting Windows Hello for Business and FIDO2/CTAP security key registration (MakeCredential) and sign-in (GetAssertion), including USB and NFC transport-level detail.","1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1020, 1021, 1022, 1023, 1024, 1025, 1040, 1041, 1042, 1043, 1060, 1100, 1101, 1102, 1103, 1104, 2000, 2001, 2100, 2101, 2102, 2103, 2104, 2110, 2111, 2200, 2201, 2202, 2203, 2210, 2211, 2212, 2213, 2220, 2221, 2222, 2223, 2224, 2225, 2226, 2300, 2301, 2302, 2303, 2310, 2311, 2312, 2313, 2314, 2315, 2316, 2320, 2321, 2322, 2323, 2324, 2325, 2326, 2327, 2328, 2400, 2401, 2402",https://learn.microsoft.com/en-us/windows/win32/api/webauthn/,"AU-2, AU-3, AU-12"
Audit Token Right Adjustment,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit Token Right Adjustment,Event Viewer > navigate to the GPO path > select 'Configure the following audit events': Success. Not audited by default; high event volume.,4703,,"AU-2, AU-3, AU-12"
Audit User / Device Claims,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit User / Device Claims,Event Viewer > navigate to the GPO path > select 'Configure the following audit events': Success. Requires Audit Logon to also be enabled to get events from this subcategory.,4626,,"AU-2, AU-3, AU-12"
Audit Group Membership,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Group Membership,Event Viewer > navigate to the GPO path > select 'Configure the following audit events': Success. Requires Audit Logon to also be enabled to get events from this subcategory.,4627,,"AU-2, AU-3, AU-12"
Audit Central Access Policy Staging,Computer Configuration\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Central Access Policy Staging,Event Viewer > navigate to the GPO path > select 'Configure the following audit events': Success and Failure. Requires a proposed Central Access Policy to be staged.,4818,,"AU-2, AU-3, AU-12"
